"airport";"year";"month";"tm_mov_naz";"p_tm_mov_naz";"tm_mov_internaz";"p_tm_mov_internaz";"tm_mov_UE";"p_tm_mov_UE";"tm_mov_tcomm";"p_tm_mov_tcomm";"tm_mov_tgenav";"p_tm_mov_tgenav";"tm_mov_tot";"p_tm_mov_tot";"tp_mov_naz";"p_tp_mov_naz";"tp_mov_internaz";"p_tp_mov_internaz";"tp_mov_UE";"p_tp_mov_UE";"tp_mov_tcomm";"p_tp_mov_tcomm";"tp_mov_tgenav";"p_tp_mov_tgenav";"tp_mov_tot";"p_tp_mov_tot";"cod3";"cod4";"rating";"nroutes";"nro"
"Alghero";2001;7;816;-27.787610619469;152;92.4050632911392;150;117.391304347826;968;-19.933829611249;96;45.4545454545455;1064;-16.5490196078431;302520;-4.3372671043145;83644;104.819041089182;254058;586.513362336855;969;359.241706161137;387133;8.35411506220524;571;35.3080568720379;"AHO";"LIEA";70;1922;4
"Ancona";2001;7;545;15.4661016949153;471;23.6220472440945;292;35.8139534883721;1016;19.1090269636577;801;-19.6589769307924;1817;-1.78378378378378;136346;-3.89776988356029;118955;18.884857933819;95471;42.1524396599217;354;54.5851528384279;255655;5.57101798780991;3705;-31.0569408262002;"AOI";"LIPY";77;200;2
"Bari";2001;7;1394;-9.185667752443;234;80;0;0;1628;-2.22222222222222;610;7.20562390158172;2238;0.17905102954342;662330;-8.53551597138119;19793;13.3619702176403;0;0;2300;338.931297709924;684423;-7.77499147715406;2072;76.9427839453459;"BRI";"LIBD";72;5000;5
"Bergamo";2001;7;1044;1.85365853658537;2374;-13.3260313983206;2171;17.4148188209843;3418;-9.192348565356;257;-1.90839694656489;3675;-8.71833084947839;202137;-29.2551981436826;429099;-3.3371403856161;267283;9.05860079483601;5690;-12.9570139207588;636926;-13.4819479554509;2342;56.760374832664;"BGY";"LIME";73;13122;6
"Bologna";2001;7;1484;-15.1515151515152;3932;5.78423459779392;3333;6.72430355427474;5416;-0.914745700695207;0;0;5416;-8.31217199932284;660225;3.12212996457556;1399900;4.28438296854782;1105978;5.6165032411351;42385;1.67926112510495;2102510;3.86314730762315;294;-93.2537861404314;"BLQ";"LIPE";72;15488;6
"Bolzano";2001;7;121;-2.41935483870968;62;-48.3333333333333;62;-38;183;-25;953;56.7434210526316;1136;33.3333333333333;16122;-9.50830713964975;8034;-35.0052584742335;8034;-24.414338131527;68;36;24224;-19.8597280576968;3293;785.215053763441;"BZO";"LIPB";59;8;1
"Brindisi";2001;7;575;-8.14696485623003;171;-32.9411764705882;0;0;746;-15.3234960272418;160;-37.7431906614786;906;-20.3866432337434;328496;8.0888280527651;29883;-5.73186119873817;0;0;14383;193.410852713178;372762;9.47006739791199;334;-68.8723205964585;"BDS";"LIBR";72;968;3
"Cagliari";2001;7;2229;-14.203233256351;325;31.0483870967742;307;39.5454545454545;2554;-10.2600140548138;578;27.8761061946903;3132;-5.03335354760461;1040815;-5.18168086916755;54174;-2.0095866871665;48825;3.09768148992778;18492;12.6805191639754;1113481;-4.78103968735837;1668;-29.0212765957447;"CAG";"LIEE";72;3698;4
"Catania";2001;7;3113;-7.81758957654723;957;-8.94386298763083;701;-9.07911802853437;4070;-8.08491418247516;134;-32.6633165829146;4204;-9.14199265182624;1811750;2.22615183919616;561139;9.42306792299772;445792;11.4115127295811;5379;-9.50538358008075;2378268;3.80662890824144;1299;177.564102564103;"CTA";"LICC";68;27149;7
"Cuneo";2001;7;42;-74.6987951807229;0;0;0;0;42;-74.6987951807229;1365;-35.3999053478467;1407;-38.2623957876262;3673;-34.9911504424779;80;-27.9279279279279;101;-9.00900900900901;0;0;3753;-34.8550598854366;8335;90.6014177909902;"CUF";"LIMZ";42;50;1
"Firenze";2001;7;873;-12.5250501002004;1958;13.441483198146;0;0;2831;3.928046989721;455;-39.9736147757256;3286;-5.62894887995405;256516;-9.62527656815908;664041;13.0448031541638;0;0;0;0;920557;5.6593400286944;5151;-18.1991424487851;"FLR";"LIRQ";61;5618;5
"Genova";2001;7;769;-29.1244239631336;726;-14.9882903981265;473;-19.0068493150685;1495;-22.8984012377514;901;1.92307692307692;2396;-15.1257527453064;320412;-13.2584525172786;247470;4.44548550880614;195620;9.85444090030999;8580;51.1627906976744;576462;-5.80686274509804;7247;0.947207131912523;"GOA";"LIMJ";64;800;3
"Lamezia Terme";2001;7;696;5.13595166163142;228;-31.7365269461078;186;-37.5838926174497;924;-7.2289156626506;80;-28.5714285714286;1004;-9.38628158844765;364299;12.7148797663395;69764;-31.2480290129297;62160;-33.1202995384268;2949;1.02774922918808;437012;2.20231761362972;495;45.5882352941176;"SUF";"LICA";62;1250;4
"Milano Linate";2001;7;5197;23.7086407998096;2917;110.765895953757;2775;101.378809869376;8114;45.2820053715309;2748;118.964143426295;10862;58.8011695906433;3079151;29.2221660333175;1285528;6.61513644864464;1261028;4.65805131201433;304;6.66666666666667;4364983;21.625045104538;0;0;"LIN";"LIML";67;7200;5
"Milano Malpensa";2001;7;5365;-18.4402553967771;16247;-1.47959493056819;10597;4.77555863159976;21612;-6.3158351033855;313;131.851851851852;21925;-5.51198069298397;2626898;-18.3693496857859;8784379;3.43188531801578;4627550;4.4540627169049;66444;-33.9338981028517;11477721;-2.82598850799216;0;0;"MXP";"LIMC";72;74500;8
